-44.0456881,174.4034318,2020-06-26T16:30:18
-44.0456228,174.4034971,2020-06-26T16:40:18
-44.0456876,174.4034323,2020-06-26T16:50:18
-44.0456421,174.4034778,2020-06-26T17:00:18
-44.0457032,174.4034167,2020-06-26T17:10:18
-44.0456810,174.4034389,2020-06-26T17:20:18
-44.0456468,174.4034731,2020-06-26T17:30:18
-44.0458557,174.4032642,2020-06-26T17:40:18
-44.0457419,174.4033780,2020-06-26T17:50:18
-44.0457570,174.4033629,2020-06-26T18:00:18
-44.0457738,174.4033461,2020-06-26T18:10:18
-44.0457375,174.4033824,2020-06-26T18:20:18
-44.0455605,174.4035594,2020-06-26T18:30:18
-44.0457965,174.4033234,2020-06-26T18:40:18
-44.0456131,174.4035068,2020-06-26T18:50:18
-44.0458782,174.4032417,2020-06-26T19:00:18
-44.0457434,174.4033765,2020-06-26T19:10:18
-44.0456937,174.4034262,2020-06-26T19:20:18
-44.0456513,174.4034686,2020-06-26T19:30:18
-44.0456388,174.4034811,2020-06-26T19:40:18
-44.0456306,174.4034893,2020-06-26T19:50:18
-44.0457448,174.4033751,2020-06-26T20:00:18
-44.0457562,174.4033637,2020-06-26T20:10:18
-44.0456242,174.4034958,2020-06-26T20:20:18
-44.0457291,174.4033908,2020-06-26T20:30:18
-44.0457291,174.4033908,2020-06-26T20:40:18
-44.0456242,174.4034958,2020-06-26T20:50:18
-44.0457562,174.4033637,2020-06-26T21:00:18
-44.0457448,174.4033751,2020-06-26T21:10:18
-44.0456306,174.4034893,2020-06-26T21:20:18
-44.0456388,174.4034811,2020-06-26T21:30:18
-44.0456513,174.4034686,2020-06-26T21:40:18
-44.0456937,174.4034262,2020-06-26T21:50:18
-44.0457434,174.4033765,2020-06-26T22:00:18
-44.0458782,174.4032417,2020-06-26T22:10:18
-44.0456131,174.4035068,2020-06-26T22:20:18
-44.0457965,174.4033234,2020-06-26T22:30:18
-44.0455605,174.4035594,2020-06-26T22:40:18
-44.0457375,174.4033824,2020-06-26T22:50:18
-44.0457738,174.4033461,2020-06-26T23:00:18
-44.0457570,174.4033629,2020-06-26T23:10:18
-44.0457419,174.4033780,2020-06-26T23:20:18
-44.0458557,174.4032642,2020-06-26T23:30:18
-44.0456468,174.4034731,2020-06-26T23:40:18
-44.0456810,174.4034389,2020-06-26T23:50:18
-44.0457032,174.4034167,2020-06-27T00:00:18
-44.0456421,174.4034778,2020-06-27T00:10:18
-44.0456876,174.4034323,2020-06-27T00:20:18
-44.0456228,174.4034971,2020-06-27T00:30:18
-44.0456881,174.4034318,2020-06-27T00:40:18
